Field Name,FIX Tag,Short Description,Is Signed-Off,Default Value,Data Type,Last Update User,Start Date,Jira No,Long Description,OPS Critical Tag,System,PII Information Level Type,PII Element Name
account,1,"Account mnemonic as agreed between buy and sell sides, e.g. broker and institution or investor/intermediary and fund manager.",Y,,String,adingare,1.45262E+12,,,,TC|C|null,,
cPartyAccount,1,"Account mnemonic as agreed between buy and sell sides, e.g. broker and institution or investor/intermediary and fund manager.",Y,,String,tejasd,1.14469E+12,,,,TC|C|null,,
tradingAcc,1,"Account mnemonic as agreed between buy and sell sides, e.g. broker and institution or investor/intermediary and fund manager.",Y,,String,liuzhe,1.65231E+12,,,CRITICAL,TC|C|null,,
AdvId,2,Unique identifier of advertisement message. (Prior to FIX 4.1 this field was of type int),Y,,String,mikena,1.6685E+12,,,,,,
AdvRefID,3,Reference identifier used with CANCEL and REPLACE transaction types. (Prior to FIX 4.1 this field was of type int),Y,,String,monacant,1.38211E+12,,,,,,
AdvSide,4,Brokers side of advertised trade,Y, ,String,gayakwad,1.14469E+12,,,,,,
AdvTransType,5,Identifies advertisement message transaction type,Y, ,String,gayakwad,1.14469E+12,,,,,,
avgPx,6,Calculated average price of all fills on this order.,Y,,Float,kaleami,1.53382E+12,,,,,,
BeginSeqNo,7,Message sequence number of first message in range to be resent,Y, ,,gayakwad,1.14469E+12,,,,,,
BeginString,8,Identifies beginning of new message and protocol version. ALWAYS FIRST FIELD IN MESSAGE. (Always unencrypted) FIX.4.3,Y,,String,marcelan,1.56863E+12,,,,,,
BodyLength,9,"Message length, in bytes, forward to the CheckSum field.  ALWAYS SECOND FIELD IN MESSAGE. (Always unencrypted)",Y,,String,marcelan,1.56863E+12,,,,,,
CheckSum,10,"Three byte, simple checksum  (see Volume 2: CheckSum Calculation for description).  ALWAYS LAST FIELD IN MESSAGE
i.e. serves, with the trailing <SOH>, as the end-of-message delimiter.  Always defined as three characters. (Always unencrypted)",Y,,String,marcelan,1.56863E+12,,,,,,
clOrdID,11,"Unique identifier for Order as assigned by the buy-side (institution, broker, intermediary  etc.) (identified by SenderCompID or OnBehalfOfCompID as appropriate).  Uniqueness must be guaranteed within a single trading day",Y,,String,kaleami,1.53382E+12,,,,,,
commission,12,"Commission.  Note if CommType is percentage, Commission of 5percent should be represented as .05.",Y,,Float,nadaraja,1.71655E+12,,,,,,
commType,13,Commission type,Y,,String,nadaraja,1.71655E+12,,,,,,
cumQty,14,Total number of shares filled.(Prior to FIX 4.2 this field was of type int),Y,,Float,kaleami,1.53382E+12,,,,,,
currency,15,Identifies ccy used for price. Absence of this field is interpreted as the default for the security.  It is recommended that systems provide the ccy value whenever possible.  See Appendix A: Valid ccy Codes for info on obtaining valid values.,Y,,String,evos,1.66613E+12,,,YES,GTRS-RDRS|Y|null;TC|Y|null,,
EndSeqNo,16,"Message sequence number of last message in range to be resent.  If request is for a single message BeginSeqNo is EndSeqNo.  If request is for all messages subsequent to a particular message, EndSeqNo is 0 (representing infinity).",Y,,,tejasd,1.14469E+12,,,,,,
execID,17,"Unique identifier of execution message as assigned by sell-side (broker, exchange, ECN) (will be 0 (zero) forExecType=I (Order Status)). Uniqueness must be guaranteed within a single trading day or the life of a multi-day order",Y,,String,kaleami,1.53382E+12,,,,,,
execInst,18,"Instructions for order handling on exchange trading floor.  If more than one instruction is applicable to an order, this field can contain multiple instructions separated by space.",Y,,String,kiera,1.55263E+12,,,,,,
execRefID,19,Reference identifier used with Cancel and Correct transaction types.   (Prior to FIX 4.1 this field was of type int),Y,,String,tejasd,1.14469E+12,,,,,,
execTransType,20,Identifies transaction type. Indicates status of the entity - for front office entities(Fill) this is owned by front office and for TC entities(subtypes of Security Trade Contracts) this is owned by TC,Y,,String,liuzhe,1.65231E+12,,,CRITICAL,GTRS-RDRS|C|null;TC|C|null,,
handlInst,21,Instructions for order handling on Broker trading floor,Y,,String,kiera,1.55263E+12,,,,,,
handlInstAlt,21,Instructions for order handling on Broker trading floor,Y,1,String,smore,1.34086E+12,,&lt;text&gt;,,,,
handleInst,21,Instructions for order handling on Broker trading floor,Y,,String,tejasd,1.14469E+12,,,,,,
iDSource,22,Identifies class or source of the SecurityID value.  Required if SecurityID is specified. Formerly named IDSource prior to FIX 4.3,Y,,String,mirzaabd,1.48396E+12,,,,,,
