APP_CODE,DEST_ID,SUB_DEST_ID,ORDER_MGMT_SYS_CODE,SALES_BUS_LINE_ID,SALES_BUS_DIVISION,MS_DEST_ID,ISSUE_TYPE_CODE,SALES_CAPTURE_METHOD_CODE,10
MMETL,MMETL,,FIX_DMA,CLSITTRD,,77MMRTRCD1_NYPMM63_MMTRADER3,ADR,FIX,27
MMETL,MMETL,,FIX_DMA,CLSITTRD,,77MMRTRCD1_NYPMM67_MMTRADER4,WARRNT,FIX,1
MMETL,MMETL,,FIX_DMA,CLSITTRD,,78MMRTRCD1_NYPMM59_MMTRADER5,FUND,FIX,4
MMETL,MMETL,,CG_DMA,CLSITTRD,,78MMRTRCD1_NYPMM63_MMTRADER4,STOCK,FIX,4
MMETL,MMETL,,FIX_SWAP,CLSITTRD,,78MMRTRMVEA1_NYPMM61_MMTRADER5,ADR,,2
vhedger,VHedgerOM,,,FX,,AHS_WMRTHP_FXOM,FX,,85
SORT,NYAX,,BROKER,CLSITTRD,,AMEX,FUND,FIX,2
SORT,NYAX,,CG_DMA,CLSITTRD,,AMEX,ADR,FIX,2674
SORT,NEOEL,,FIX_DMA,CLSITTRD,,AQL,FUND,FIX,5
SORT,ARCX,,,CLSITTRD,IED,ARCA,ETF,FIX,2182
Passport,Passport,,Passport,CLSITTRD,IED,ATDL_AS_CSH,ADR,Passport,3
Passport,Passport,5Y,Passport,CLSITTRD,IED,ATDL_EU_CSH,ETF,Passport,27
RBE,,,CG_BXS,CLSITTRD,,AUTEX_TA,STOCK,,10
CPK,BARX,BARX1,CG_SWAP,CLSITTRD,,BARX,ETF,,19704
CPK,LATS,BARX1,PROXIMA_SWAP,CLSITTRD,,BARX,STOCK,,13
RBE,BATE,,CG_BXS,CLSITTRD,,BATE,STOCK,,2607
RBE,BATE,,FIX_BXS,CLSITTRD,,BATE,ADR,FIX,291
SORT,CPK,BATS,FIX_SWAP,CLSITTRD,,BATS,ADR,FIX,11325
CPK,PULX,BCROSS,CG_SWAP,CLSITTRD,,BCROSS,STOCK,,1944
SORT,PULX,BCROSS,CG_DMA,CLSITTRD,,BCROSS,ADR,FIX,6930
ETS,CARBON,CASHDESK,CARBON,CORE,IED,BENCHEX,ETF,FIX,4
SORT,BIDS,BIDS,CG_DMA,CLSITTRD,,BIDS,WARRNT,FIX,72
RBE,SORT,,FIX_SWAP,CLSITTRD,,BKK,STOCK,FIX,6510
LAMALGO,CARBON,,,MSPS,,BMF,FUTURE,,3125
LAMALGO,BMF,,,MSPS,,BMF_RFB,FUTURE,,859
BORIS,BORIS,,BORIS,ETP,,BORIS,OPTION,,217208
mvea,APT,,Passport,CLSITTRD,IED,BXS,STOCK,FIX,15
RBE_PREBCHMK,BXS-OC,,CG_DMA,CLSITTRD,,BXS,ETF,FIX,390
RBE,RBE,,FIX_SWAP,CLSITTRD,,BXS,STOCK,FIX,285133
IEDALGO,RBE_PREBCHMK,,MERCURY,CORE,IED,BXS,ADR,,41
PT,OM_SLICE,,PT,SWAPS,,BXS-ROR,STOCK,,68
CSOM,RBE,,FIX_BXS,CLSITTRD,IED,BXS_KR_SAM,FUTURE,FIX,1980
CSOM,BXS,,FIX_BXS,CLSITTRD,IED,BXS_SG,FUTURE,FIX,8170
RAZER,BXS,,FIX_BXS,CLSITTRD,,BXS_TH,ADR,FIX,23
RAZER,RBE,,FIX_BXS,CLSITTRD,,BXS_TH,ADR,FIX,933
CARBON,CARBON,AMSM,CARBON,CORE,IED,CARBON,STOCK,Phone,3
CARBON,CARBON,GER0,CARBON,CORE,IED,CARBON,STOCK,FIX,11
CARBON,CARBON,80,CARBON,CORE,IED,CASHDESK,STOCK,Phone,6
mvea,MMETL,,CARBON,CORE,,CASHDESK,STOCK,,14
RBE,CHA_PEG,,PROXIMA,CLSITTRD,,CHA_PEG,STOCK,FIX,20306
RBE,CHIX,,CG_BXS,CLSITTRD,,CHIX,ETF,,1
KRONOS,,,SPONSORED_ECN,CORE,,CN_CB,CONVRT,,14509
CPK,MIAXPRLEQ,,CG_SWAP,CLSITTRD,,CPK,STOCK,,334
CPK,XEDGX,,FIX_SWAP,CLSITTRD,,CPK,ETF,,2
MSCP,MSLP,,CG_SWAP,CLSITTRD,,CROSSSLICE,STOCK,,6
MMETL,MMETL,,FIX_DMA,CLSITTRD,,77MMRTRCD1_NYPMM57_MMTRADER3,STOCK,FIX,566
MMETL,MMETL,,FIX_DMA,CLSITTRD,,77MMRTRCD1_NYPMM57_MMTRADER5,STOCK,FIX,2745
MMETL,MMETL,,FIX_DMA,CLSITTRD,,77MMRTRCD1_NYPMM60_MMTRADER5,ETF,FIX,192
MMETL,MMETL,,CG_DMA,CLSITTRD,,77MMRTRCD1_NYPMM61_MMTRADER4,STOCK,FIX,3
MMETL,MMETL,,BROKER,CLSITTRD,,78MMRTRCD1_NYPMM57_MMTRADER4,STOCK,FIX,2
MMETL,MMETL,,FIX_DMA,CLSITTRD,,78MMRTRCD1_NYPMM61_MMTRADER1,ADR,FIX,15
